998,2995,4990,9928
the	ð ə
method	m ɛ θ ə d
lead	ɫ ɛ d
government	ɡ ʌ v ɝ m ə n t
function	f ʌ ŋ k ʃ ə n
action	æ k ʃ ə n
business	b ɪ z n ə s
ask	æ s k
political	p ə ɫ ɪ t ə k ə ɫ
anything	ɛ n i θ ɪ ŋ
hard	h ɑ ɹ d
test	t ɛ s t
activity	æ k t ɪ v ə t i
across	ə k ɹ ɔ s
hold	h oʊ ɫ d
note	n oʊ t
rate	ɹ eɪ t
cell	s ɛ ɫ
along	ə ɫ ɔ ŋ
however	h aʊ ɛ v ɝ
sure	ʃ ʊ ɹ
break	b ɹ eɪ k
story	s t ɔ ɹ i
share	ʃ ɛ ɹ
position	p ə z ɪ ʃ ə n
city	s ɪ t i
company	k ʌ m p ə n i
almost	ɔ ɫ m oʊ s t
self	s ɛ ɫ f
age	eɪ dʒ
land	ɫ æ n d
relationship	ɹ i ɫ eɪ ʃ ə n ʃ ɪ p
girl	ɡ ɝ ɫ
sound	s aʊ n d
act	æ k t
meet	m i t
behind	b ɪ h aɪ n d
start	s t ɑ ɹ t
analysis	ə n æ ɫ ə s ə s
whether	w ɛ ð ɝ
focus	f oʊ k ə s
whole	h oʊ ɫ
several	s ɛ v ɹ ə ɫ
clear	k ɫ ɪ ɹ
white	w aɪ t
design	d ɪ z aɪ n
full	f ʊ ɫ
community	k ə m j u n ə t i
risk	ɹ ɪ s k
party	p ɑ ɹ t i
death	d ɛ θ
policy	p ɑ ɫ ə s i
structure	s t ɹ ʌ k tʃ ɝ
role	ɹ oʊ ɫ
above	ə b ʌ v
pay	p eɪ
space	s p eɪ s
hope	h oʊ p
market	m ɑ ɹ k ə t
front	f ɹ ʌ n t
material	m ə t ɪ ɹ i ə ɫ
child	tʃ aɪ ɫ d
watch	w ɑ tʃ
either	i ð ɝ
general	dʒ ɛ n ɝ ə ɫ
language	ɫ æ ŋ ɡ w ə dʒ
big	b ɪ ɡ
account	ə k aʊ n t
field	f i ɫ d
past	p æ s t
cost	k ɑ s t
free	f ɹ i
class	k ɫ æ s
real	ɹ i ɫ
half	h æ f
bring	b ɹ ɪ ŋ
subject	s ə b dʒ ɛ k t
short	ʃ ɔ ɹ t
image	ɪ m ə dʒ
black	b ɫ æ k
hear	h i ɹ
bear	b ɛ ɹ
strong	s t ɹ ɔ ŋ
word	w ɝ d
drive	d ɹ aɪ v
common	k ɑ m ə n
period	p ɪ ɹ i ə d
food	f u d
history	h ɪ s t ɝ i
measure	m ɛ ʒ ɝ
energy	ɛ n ɝ dʒ i
rest	ɹ ɛ s t
knowledge	n ɑ ɫ ə dʒ
true	t ɹ u
certain	s ɝ t ə n
die	d aɪ
nature	n eɪ tʃ ɝ
money	m ʌ n i
remain	ɹ ɪ m eɪ n
rise	ɹ aɪ z
air	ɛ ɹ
decision	d ɪ s ɪ ʒ ə n
deep	d i p
explain	ɪ k s p ɫ eɪ n
table	t eɪ b ə ɫ
product	p ɹ ɑ d ə k t
local	ɫ oʊ k ə ɫ
soon	s u n
learn	ɫ ɝ n
particular	p ɝ t ɪ k j ə ɫ ɝ
health	h ɛ ɫ θ
future	f j u tʃ ɝ
themselves	ð ɛ m s ɛ ɫ v z
itself	ɪ t s ɛ ɫ f
follow	f ɑ ɫ oʊ
century	s ɛ n tʃ ɝ i
project	p ɹ ɑ dʒ ɛ k t
war	w ɔ ɹ
interest	ɪ n t ɹ ə s t
toward	t ə w ɔ ɹ d
everything	ɛ v ɹ i θ ɪ ŋ
week	w i k
remember	ɹ ɪ m ɛ m b ɝ
situation	s ɪ tʃ u eɪ ʃ ə n
stay	s t eɪ
difference	d ɪ f ɝ ə n s
chapter	tʃ æ p t ɝ
fire	f aɪ ɝ
term	t ɝ m
property	p ɹ ɑ p ɝ t i
quite	k w aɪ t
specific	s p ə s ɪ f ɪ k
occur	ə k ɝ
claim	k ɫ eɪ m
someone	s ʌ m w ʌ n
response	ɹ ɪ s p ɑ n s
single	s ɪ ŋ ɡ ə ɫ
walk	w ɔ k
source	s ɔ ɹ s
theory	θ ɪ ɹ i
especially	ə s p ɛ ʃ ɫ i
due	d u
lot	ɫ ɑ t
serve	s ɝ v
figure	f ɪ ɡ j ɝ
economic	ɛ k ə n ɑ m ɪ k
else	ɛ ɫ s
near	n ɪ ɹ
blood	b ɫ ʌ d
outside	aʊ t s aɪ d
car	k ɑ ɹ
appear	ə p ɪ ɹ
inside	ɪ n s aɪ d
wall	w ɔ ɫ
evidence	ɛ v ə d ə n s
deal	d i ɫ
influence	ɪ n f ɫ u ə n s
son	s ʌ n
top	t ɑ p
herself	h ɝ s ɛ ɫ f
myself	m aɪ s ɛ ɫ f
treatment	t ɹ i t m ə n t
represent	ɹ ɛ p ɹ ɪ z ɛ n t
boy	b ɔɪ
non	n ɑ n
purpose	p ɝ p ə s
record	ɹ ə k ɔ ɹ d
towards	t ə w ɔ ɹ d z
various	v ɛ ɹ i ə s
thus	ð ʌ s
morning	m ɔ ɹ n ɪ ŋ
bed	b ɛ d
per	p ɝ
consider	k ə n s ɪ d ɝ
movement	m u v m ə n t
eat	i t
attention	ə t ɛ n ʃ ə n
late	ɫ eɪ t
society	s ə s aɪ ə t i
paper	p eɪ p ɝ
choose	tʃ u z
fight	f aɪ t
object	ɑ b dʒ ɛ k t
offer	ɔ f ɝ
section	s ɛ k ʃ ə n
job	dʒ ɑ b
sign	s aɪ n
education	ɛ dʒ ə k eɪ ʃ ə n
brother	b ɹ ʌ ð ɝ
alone	ə ɫ oʊ n
challenge	tʃ æ ɫ ə n dʒ
program	p ɹ oʊ ɡ ɹ æ m
size	s aɪ z
tree	t ɹ i
draw	d ɹ ɔ
letter	ɫ ɛ t ɝ
fear	f ɪ ɹ
production	p ɹ ə d ʌ k ʃ ə n
concern	k ə n s ɝ n
expression	ɪ k s p ɹ ɛ ʃ ə n
similar	s ɪ m ə ɫ ɝ
court	k ɔ ɹ t
culture	k ʌ ɫ tʃ ɝ
performance	p ɝ f ɔ ɹ m ə n s
likely	ɫ aɪ k ɫ i
seek	s i k
range	ɹ eɪ n dʒ
key	k i
easy	i z i
happen	h æ p ə n
whose	h u z
mouth	m aʊ θ
stage	s t eɪ dʒ
lie	ɫ aɪ
access	æ k s ɛ s
available	ə v eɪ ɫ ə b ə ɫ
wish	w ɪ ʃ
plant	p ɫ æ n t
disease	d ɪ z i z
cut	k ʌ t
quality	k w ɑ ɫ ə t i
surface	s ɝ f ə s
organization	ɔ ɹ ɡ ə n ə z eɪ ʃ ə n
population	p ɑ p j ə ɫ eɪ ʃ ə n
necessary	n ɛ s ə s ɛ ɹ i
develop	d ɪ v ɛ ɫ ə p
network	n ɛ t w ɝ k
management	m æ n ə dʒ m ə n t
main	m eɪ n
current	k ɝ ə n t
sleep	s ɫ i p
complete	k ə m p ɫ i t
hair	h ɛ ɹ
dark	d ɑ ɹ k
address	æ d ɹ ɛ s
therefore	ð ɛ ɹ f ɔ ɹ
effort	ɛ f ɝ t
amount	ə m aʊ n t
application	æ p ɫ ə k eɪ ʃ ə n
natural	n æ tʃ ɝ ə ɫ
begin	b ɪ ɡ ɪ n
actually	æ k tʃ u ə ɫ i
attempt	ə t ɛ m p t
continue	k ə n t ɪ n j u
direct	d ɝ ɛ k t
context	k ɑ n t ɛ k s t
standard	s t æ n d ɝ d
try	t ɹ aɪ
text	t ɛ k s t
attack	ə t æ k
affect	ə f ɛ k t
potential	p ə t ɛ n ʃ ə ɫ
drink	d ɹ ɪ ŋ k
demand	d ɪ m æ n d
probably	p ɹ ɑ b ə b ɫ i
impact	ɪ m p æ k t
issue	ɪ ʃ u
wife	w aɪ f
author	ɔ θ ɝ
cross	k ɹ ɔ s
forward	f ɔ ɹ w ɝ d
team	t i m
pain	p eɪ n
office	ɔ f ɪ s
game	ɡ eɪ m
quickly	k w ɪ k ɫ i
technology	t ɛ k n ɑ ɫ ə dʒ i
town	t aʊ n
opportunity	ɑ p ɝ t u n ə t i
truth	t ɹ u θ
national	n æ ʃ ə n ə ɫ
red	ɹ ɛ d
feeling	f i ɫ ɪ ŋ
desire	d ɪ z aɪ ɝ
price	p ɹ aɪ s
today	t ə d eɪ
region	ɹ i dʒ ə n
flow	f ɫ oʊ
reach	ɹ i tʃ
personal	p ɝ s ɪ n ə ɫ
list	ɫ ɪ s t
stand	s t æ n d
loss	ɫ ɔ s
usually	j u ʒ ə w ə ɫ i
character	k ɛ ɹ ɪ k t ɝ
suggest	s ə dʒ ɛ s t
concept	k ɑ n s ɛ p t
perhaps	p ɝ h æ p s
environment	ɪ n v aɪ ɹ ə n m ə n t
arm	ɑ ɹ m
major	m eɪ dʒ ɝ
difficult	d ɪ f ə k ə ɫ t
visit	v ɪ z ɪ t
principle	p ɹ ɪ n s ə p ə ɫ
poor	p u ɹ
touch	t ʌ tʃ
physical	f ɪ z ɪ k ə ɫ
window	w ɪ n d oʊ
simply	s ɪ m p ɫ i
although	ɔ ɫ ð oʊ
growth	ɡ ɹ oʊ θ
accept	æ k s ɛ p t
significant	s ə ɡ n ɪ f ɪ k ə n t
respect	ɹ ɪ s p ɛ k t
teacher	t i tʃ ɝ
bad	b æ d
improve	ɪ m p ɹ u v
simple	s ɪ m p ə ɫ
wide	w aɪ d
whom	h u m
notice	n oʊ t ə s
shape	ʃ eɪ p
content	k ɑ n t ɛ n t
choice	tʃ ɔɪ s
trade	t ɹ eɪ d
strategy	s t ɹ æ t ə dʒ i
wait	w eɪ t
direction	d ɝ ɛ k ʃ ə n
wonder	w ʌ n d ɝ
solution	s ə ɫ u ʃ ə n
fine	f aɪ n
wrong	ɹ ɔ ŋ
shoulder	ʃ oʊ ɫ d ɝ
charge	tʃ ɑ ɹ dʒ
wind	w aɪ n d
eye	aɪ
pressure	p ɹ ɛ ʃ ɝ
patient	p eɪ ʃ ə n t
surprise	s ɝ p ɹ aɪ z
beyond	b ɪ ɑ n d
sometimes	s ə m t aɪ m z
produce	p ɹ ə d u s
ability	ə b ɪ ɫ ə t i
review	ɹ i v j u
dead	d ɛ d
date	d eɪ t
wave	w eɪ v
addition	ə d ɪ ʃ ə n
piece	p i s
floor	f ɫ ɔ ɹ
total	t oʊ t ə ɫ
road	ɹ oʊ d
special	s p ɛ ʃ ə ɫ
seem	s i m
lay	ɫ eɪ
behavior	b ɪ h eɪ v j ɝ
security	s ɪ k j ʊ ɹ ə t i
memory	m ɛ m ɝ i
promise	p ɹ ɑ m ə s
site	s aɪ t
task	t æ s k
international	ɪ n t ɝ n æ ʃ ə n ə ɫ
rule	ɹ u ɫ
exist	ɪ ɡ z ɪ s t
authority	ə θ ɔ ɹ ə t i
round	ɹ aʊ n d
save	s eɪ v
church	tʃ ɝ tʃ
immediately	ɪ m i d i ə t ɫ i
everyone	ɛ v ɹ i w ʌ n
instead	ɪ n s t ɛ d
lack	ɫ æ k
goal	ɡ oʊ ɫ
fast	f æ s t
cold	k oʊ ɫ d
sort	s ɔ ɹ t
ready	ɹ ɛ d i
pattern	p æ t ɝ n
phone	f oʊ n
contain	k ə n t eɪ n
carry	k æ ɹ i
achieve	ə tʃ i v
nor	n ɔ ɹ
private	p ɹ aɪ v ə t
below	b ɪ ɫ oʊ
strength	s t ɹ ɛ ŋ k θ
happy	h æ p i
degree	d ɪ ɡ ɹ i
complex	k ɑ m p ɫ ɛ k s
dress	d ɹ ɛ s
pass	p æ s
finally	f aɪ n ə ɫ i
check	tʃ ɛ k
distance	d ɪ s t ə n s
listen	ɫ ɪ s ə n
positive	p ɑ z ə t ɪ v
yourself	j ɝ s ɛ ɫ f
particularly	p ɑ ɹ t ɪ k j ə ɫ ɝ ɫ i
prove	p ɹ u v
cultural	k ʌ ɫ tʃ ɝ ə ɫ
presence	p ɹ ɛ z ə n s
cover	k ʌ v ɝ
scale	s k eɪ ɫ
operation	ɑ p ɝ eɪ ʃ ə n
trust	t ɹ ʌ s t
press	p ɹ ɛ s
chance	tʃ æ n s
heat	h i t
add	æ d
target	t ɑ ɹ ɡ ə t
statement	s t eɪ t m ə n t
financial	f ə n æ n ʃ ə ɫ
post	p oʊ s t
entire	ɪ n t aɪ ɝ
buy	b aɪ
search	s ɝ tʃ
grow	ɡ ɹ oʊ
supply	s ə p ɫ aɪ
sister	s ɪ s t ɝ
picture	p ɪ k tʃ ɝ
unit	j u n ə t
street	s t ɹ i t
basis	b eɪ s ə s
gain	ɡ eɪ n
conduct	k ɑ n d ə k t
avoid	ə v ɔɪ d
maintain	m eɪ n t eɪ n
worry	w ɝ i
regard	ɹ ɪ ɡ ɑ ɹ d
legal	ɫ i ɡ ə ɫ
protect	p ɹ ə t ɛ k t
skin	s k ɪ n
describe	d ɪ s k ɹ aɪ b
forget	f ɝ ɡ ɛ t
weight	w eɪ t
daughter	d ɔ t ɝ
spirit	s p ɪ ɹ ə t
music	m j u z ɪ k
write	ɹ aɪ t
ago	ə ɡ oʊ
reflect	ɹ ɪ f ɫ ɛ k t
percent	p ɝ s ɛ n t
instance	ɪ n s t ə n s
join	dʒ ɔɪ n
anyone	ɛ n i w ʌ n
seat	s i t
military	m ɪ ɫ ə t ɛ ɹ i
discussion	d ɪ s k ʌ ʃ ə n
beautiful	b j u t ə f ə ɫ
soul	s oʊ ɫ
industry	ɪ n d ə s t ɹ i
release	ɹ i ɫ i s
receive	ɹ ə s i v
condition	k ə n d ɪ ʃ ə n
directly	d ɝ ɛ k t ɫ i
drug	d ɹ ʌ ɡ
kiss	k ɪ s
science	s aɪ ə n s
middle	m ɪ d ə ɫ
suddenly	s ʌ d ə n ɫ i
film	f ɪ ɫ m
reduce	ɹ ə d u s
sample	s æ m p ə ɫ
hour	aʊ ɝ
dream	d ɹ i m
center	s ɛ n t ɝ
horse	h ɔ ɹ s
kill	k ɪ ɫ
bank	b æ ŋ k
shift	ʃ ɪ f t
couple	k ʌ p ə ɫ
identity	aɪ d ɛ n t ɪ t i
modern	m ɑ d ɝ n
doubt	d aʊ t
please	p ɫ i z
ship	ʃ ɪ p
page	p eɪ dʒ
temperature	t ɛ m p ɹ ə tʃ ɝ
husband	h ʌ z b ə n d
brain	b ɹ eɪ n
glass	ɡ ɫ æ s
breath	b ɹ ɛ θ
stress	s t ɹ ɛ s
sea	s i
mine	m aɪ n
reference	ɹ ɛ f ɝ ə n s
communication	k ə m j u n ə k eɪ ʃ ə n
nation	n eɪ ʃ ə n
contact	k ɑ n t æ k t
determine	d ə t ɝ m ə n
final	f aɪ n ə ɫ
color	k ʌ ɫ ɝ
king	k ɪ ŋ
fly	f ɫ aɪ
generally	dʒ ɛ n ɝ ə ɫ i
clearly	k ɫ ɪ ɹ ɫ i
path	p æ θ
apply	ə p ɫ aɪ
effective	ɪ f ɛ k t ɪ v
separate	s ɛ p ɝ eɪ t
officer	ɔ f ə s ɝ
manner	m æ n ɝ
fit	f ɪ t
police	p ə ɫ i s
oil	ɔɪ ɫ
enjoy	ɛ n dʒ ɔɪ
dog	d ɔ ɡ
capital	k æ p ə t ə ɫ
wear	w ɛ ɹ
variable	v ɛ ɹ i ə b ə ɫ
send	s ɛ n d
earth	ɝ θ
race	ɹ eɪ s
series	s ɪ ɹ i z
onto	ɑ n t u
indeed	ɪ n d i d
religious	ɹ ɪ ɫ ɪ dʒ ə s
blue	b ɫ u
argument	ɑ ɹ ɡ j ə m ə n t
phase	f eɪ z
limit	ɫ ɪ m ə t
original	ɝ ɪ dʒ ə n ə ɫ
indicate	ɪ n d ə k eɪ t
reality	ɹ i æ ɫ ə t i
green	ɡ ɹ i n
identify	aɪ d ɛ n t ə f aɪ
completely	k ə m p ɫ i t ɫ i
edge	ɛ dʒ
store	s t ɔ ɹ
perspective	p ɝ s p ɛ k t ɪ v
agent	eɪ dʒ ə n t
critical	k ɹ ɪ t ɪ k ə ɫ
train	t ɹ eɪ n
slowly	s ɫ oʊ ɫ i
thank	θ æ ŋ k
normal	n ɔ ɹ m ə ɫ
distribution	d ɪ s t ɹ ə b j u ʃ ə n
length	ɫ ɛ ŋ k θ
user	j u z ɝ
guy	ɡ aɪ
reaction	ɹ i æ k ʃ ə n
firm	f ɝ m
success	s ə k s ɛ s
foreign	f ɔ ɹ ə n
prevent	p ɹ ɪ v ɛ n t
volume	v ɑ ɫ j u m
professional	p ɹ ə f ɛ ʃ ə n ə ɫ
signal	s ɪ ɡ n ə ɫ
enter	ɛ n t ɝ
exercise	ɛ k s ɝ s aɪ z
strange	s t ɹ eɪ n dʒ
conflict	k ɑ n f ɫ ɪ k t
connection	k ə n ɛ k ʃ ə n
ring	ɹ ɪ ŋ
contract	k ɑ n t ɹ æ k t
message	m ɛ s ə dʒ
box	b ɑ k s
file	f aɪ ɫ
chair	tʃ ɛ ɹ
block	b ɫ ɑ k
conversation	k ɑ n v ɝ s eɪ ʃ ə n
aim	eɪ m
struggle	s t ɹ ʌ ɡ ə ɫ
lose	ɫ u z
average	æ v ɝ ɪ dʒ
interaction	ɪ n t ɝ æ k ʃ ə n
status	s t æ t ə s
detail	d ɪ t eɪ ɫ
trouble	t ɹ ʌ b ə ɫ
global	ɡ ɫ oʊ b ə ɫ
news	n u z
previous	p ɹ i v i ə s
female	f i m eɪ ɫ
central	s ɛ n t ɹ ə ɫ
easily	i z ə ɫ i
balance	b æ ɫ ə n s
negative	n ɛ ɡ ə t ɪ v
gaze	ɡ eɪ z
safe	s eɪ f
procedure	p ɹ ə s i dʒ ɝ
command	k ə m æ n d
hot	h ɑ t
duty	d u t i
scene	s i n
official	ə f ɪ ʃ ə ɫ
transfer	t ɹ æ n s f ɝ
ensure	ɛ n ʃ ʊ ɹ
appropriate	ə p ɹ oʊ p ɹ i ə t
require	ɹ i k w aɪ ɝ
stone	s t oʊ n
hit	h ɪ t
opinion	ə p ɪ n j ə n
income	ɪ n k ʌ m
recent	ɹ i s ə n t
baby	b eɪ b i
laugh	ɫ æ f
lady	ɫ eɪ d i
imagine	ɪ m æ dʒ ə n
heavy	h ɛ v i
capacity	k ə p æ s ə t i
thought	θ ɔ t
device	d ɪ v aɪ s
warm	w ɔ ɹ m
importance	ɪ m p ɔ ɹ t ə n s
nearly	n ɪ ɹ ɫ i
master	m æ s t ɝ
ear	i ɹ
re	ɹ eɪ
rock	ɹ ɑ k
economy	ɪ k ɑ n ə m i
dry	d ɹ aɪ
medical	m ɛ d ə k ə ɫ
option	ɑ p ʃ ə n
former	f ɔ ɹ m ɝ
primary	p ɹ aɪ m ɛ ɹ i
multiple	m ʌ ɫ t ə p ə ɫ
exchange	ɪ k s tʃ eɪ n dʒ
sit	s ɪ t
spread	s p ɹ ɛ d
damage	d æ m ə dʒ
code	k oʊ d
belief	b ɪ ɫ i f
assessment	ə s ɛ s m ə n t
generation	dʒ ɛ n ɝ eɪ ʃ ə n
expect	ɪ k s p ɛ k t
male	m eɪ ɫ
throughout	θ ɹ u aʊ t
pretty	p ɹ ɪ t i
board	b ɔ ɹ d
travel	t ɹ æ v ə ɫ
adult	ə d ʌ ɫ t
article	ɑ ɹ t ə k ə ɫ
contrast	k ɑ n t ɹ æ s t
mass	m æ s
respond	ɹ ɪ s p ɑ n d
basic	b eɪ s ɪ k
belong	b ɪ ɫ ɔ ŋ
corner	k ɔ ɹ n ɝ
advantage	æ d v æ n t ɪ dʒ
speed	s p i d
except	ɪ k s ɛ p t
possibility	p ɑ s ə b ɪ ɫ ə t i
failure	f eɪ ɫ j ɝ
trial	t ɹ aɪ ə ɫ
mechanism	m ɛ k ə n ɪ z ə m
rich	ɹ ɪ tʃ
faith	f eɪ θ
guide	ɡ aɪ d
investment	ɪ n v ɛ s t m ə n t
exactly	ɪ ɡ z æ k t ɫ i
shot	ʃ ɑ t
fish	f ɪ ʃ
event	ɪ v ɛ n t
slow	s ɫ oʊ
moral	m ɔ ɹ ə ɫ
responsibility	ɹ i s p ɑ n s ə b ɪ ɫ ə t i
spot	s p ɑ t
clean	k ɫ i n
agreement	ə ɡ ɹ i m ə n t
sight	s aɪ t
equal	i k w ə ɫ
judge	dʒ ʌ dʒ
spend	s p ɛ n d
throw	θ ɹ oʊ
literature	ɫ ɪ t ɝ ə tʃ ɝ
worker	w ɝ k ɝ
argue	ɑ ɹ ɡ j u
interview	ɪ n t ɝ v j u
student	s t u d ə n t
client	k ɫ aɪ ə n t
map	m æ p
enemy	ɛ n ə m i
escape	ɪ s k eɪ p
location	ɫ oʊ k eɪ ʃ ə n
perfect	p ɝ f ɛ k t
traditional	t ɹ ə d ɪ ʃ ə n ə ɫ
fully	f ʊ ɫ i
cry	k ɹ aɪ
number	n ʌ m b ɝ
ride	ɹ aɪ d
highly	h aɪ ɫ i
serious	s ɪ ɹ i ə s
river	ɹ ɪ v ɝ
sun	s ʌ n
style	s t aɪ ɫ
doctor	d ɑ k t ɝ
active	æ k t ɪ v
ill	ɪ ɫ
machine	m ə ʃ i n
chest	tʃ ɛ s t
staff	s t æ f
tend	t ɛ n d
contribute	k ə n t ɹ ɪ b j u t
soft	s ɑ f t
certainly	s ɝ t ə n ɫ i
member	m ɛ m b ɝ
foot	f ʊ t
base	b eɪ s
root	ɹ u t
discuss	d ɪ s k ʌ s
whatever	w ʌ t ɛ v ɝ
